ID,TENANT_ID,LEDGER_DELINQUENCY_ID,COMPANY_UUID,PAYMENT_INTENT_ID,DATA,CREATED_AT,RELATED_OBJECT_ID,LEDGER_UUID,FOLLOWUP_DATE,TYPE,UNIT_UUID,UUID,UPDATED_AT,TENANT_UUID,CREATED_BY_TYPE,ATTACHMENT_ID,FACILITY_ID,FACILITY_UUID,UNIT_ID,LEDGER_ID,ACTION_ITEM,LEAD_ID,RESOLVED,UPDATED_BY_TYPE,SUPPORT_CASE_ID,RELATED_OBJECT_UUID,NEEDS_FOLLOWUP,RELATED_OBJECT_TYPE,PARENT_EVENT_ID,RESOLVED_ON,NEEDS_FOLLOWUP_BY,LEAD_UUID,CLIENT_APPLICATION_ID,UPDATED_BY_ID,CREATED_BY_ID,SOURCE_ID,IMPORTANT_TASK,STATUS,_FIVETRAN_SYNCED,_FIVETRAN_START,_FIVETRAN_END,_FIVETRAN_ACTIVE
19626,3544,,,,"{
  ""gate_access_code"": ""02378"",
  ""move_in_date"": ""2011-01-22"",
  ""move_in_initiated_date"": ""2011-01-22"",
  ""rate"": ""80.0""
}",2011-01-22 10:00:00.000,,,2014-02-01 00:41:44.569,MoveInUnitEvent,,611e7a5c-842f-4876-a793-7bb690e6c056,2014-04-08 03:12:52.981,,,,14,,5949,5114,,,TRUE,,,,FALSE,,,,,,,,,,FALSE,,2026-07-09 08:41:00.115 Z,2026-07-09 08:26:50.521 Z,9999-12-31 23:59:59.999 Z,TRUE
19627,3544,,,,"{
  ""invoice_sent"": ""true""
}",2014-02-01 00:41:45.427,5119,,,InvoiceSentTenantEvent,,dd9b8870-913e-4e52-9301-28def3c13a68,2014-02-01 00:41:45.795,,,,14,,,,,,TRUE,,,,FALSE,Invoice,,,,,,,,,FALSE,,2026-08-05 12:53:16.305 Z,2026-08-05 12:53:13.936 Z,9999-12-31 23:59:59.999 Z,TRUE
19627,3544,,,,"{
  ""invoice_sent"": ""true""
}",2014-02-01 00:41:45.427,5119,,,InvoiceSentTenantEvent,,dd9b8870-913e-4e52-9301-28def3c13a68,2014-02-01 00:41:45.795,,,,14,,,,,,TRUE,,,,FALSE,Invoice,,,,,,,,,FALSE,,2026-07-09 08:26:52.363 Z,2026-07-09 08:26:50.521 Z,2026-08-05 12:53:13.935 Z,FALSE
19628,3544,,,,"{
  ""invoice_sent"": ""true""
}",2014-02-01 00:41:45.604,5120,,,InvoiceSentTenantEvent,,23c39473-ff22-47b2-a5f9-3c166598464f,2014-02-01 00:41:45.858,,,,14,,,,,,TRUE,,,,FALSE,Invoice,,,,,,,,,FALSE,,2026-07-09 08:26:52.383 Z,2026-07-09 08:26:50.521 Z,2026-08-05 12:53:13.935 Z,FALSE
19628,3544,,,,"{
  ""invoice_sent"": ""true""
}",2014-02-01 00:41:45.604,5120,,,InvoiceSentTenantEvent,,23c39473-ff22-47b2-a5f9-3c166598464f,2014-02-01 00:41:45.858,,,,14,,,,,,TRUE,,,,FALSE,Invoice,,,,,,,,,FALSE,,2026-08-05 12:53:16.310 Z,2026-08-05 12:53:13.936 Z,9999-12-31 23:59:59.999 Z,TRUE
19629,3544,,,,"{
  ""invoice_sent"": ""true""
}",2014-02-01 00:41:45.789,5121,,,InvoiceSentTenantEvent,,3af8e266-9c57-4090-b87f-76e1d2a7e3ae,2014-02-01 00:41:45.809,,,,14,,,,,,TRUE,,,,FALSE,Invoice,,,,,,,,,FALSE,,2026-07-09 08:26:52.383 Z,2026-07-09 08:26:50.521 Z,2026-08-05 12:53:13.935 Z,FALSE
19629,3544,,,,"{
  ""invoice_sent"": ""true""
}",2014-02-01 00:41:45.789,5121,,,InvoiceSentTenantEvent,,3af8e266-9c57-4090-b87f-76e1d2a7e3ae,2014-02-01 00:41:45.809,,,,14,,,,,,TRUE,,,,FALSE,Invoice,,,,,,,,,FALSE,,2026-08-05 12:53:16.310 Z,2026-08-05 12:53:13.936 Z,9999-12-31 23:59:59.999 Z,TRUE
19630,3544,,,,"{
  ""invoice_sent"": ""true""
}",2014-02-01 00:41:46.071,5122,,,InvoiceSentTenantEvent,,3e070c01-1bd4-43a0-812c-6a034215f3ac,2014-02-01 00:41:46.160,,,,14,,,,,,TRUE,,,,FALSE,Invoice,,,,,,,,,FALSE,,2026-07-09 08:26:52.383 Z,2026-07-09 08:26:50.521 Z,2026-08-05 12:53:13.935 Z,FALSE
19630,3544,,,,"{
  ""invoice_sent"": ""true""
}",2014-02-01 00:41:46.071,5122,,,InvoiceSentTenantEvent,,3e070c01-1bd4-43a0-812c-6a034215f3ac,2014-02-01 00:41:46.160,,,,14,,,,,,TRUE,,,,FALSE,Invoice,,,,,,,,,FALSE,,2026-08-05 12:53:16.310 Z,2026-08-05 12:53:13.936 Z,9999-12-31 23:59:59.999 Z,TRUE
19631,3544,23598765,,,"{
  ""applied_date"": ""2014-02-19"",
  ""invoice_id"": ""5120"",
  ""line_item_id"": ""5237"",
  ""resolved_date"": ""2014-03-13""
}",2014-02-01 00:41:46.354,23,,,DelinquencyStageTenantEvent,,f8030a6c-eab3-44a9-b9b3-4a490aee0321,2014-04-08 03:11:57.877,,,,14,,,5114,,,TRUE,,,,FALSE,DelinquencyStage,,,,,,,,,FALSE,removed,2026-07-09 08:26:51.312 Z,2026-07-09 08:26:50.521 Z,2026-08-05 12:53:13.935 Z,FALSE
